"Date","Source","Site ID","POC","Daily Max 1-hour SO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"03/20/2013","AQS","515100021","1","1.2","ppb","1","City of Alexandria Transportation and Env. Services Maintenance Bldg","22","92.0000","42401","Sulfur dioxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","510","Alexandria City","38.8065","-77.0864"
"03/21/2013","AQS","515100021","1","3.3","ppb","4","City of Alexandria Transportation and Env. Services Maintenance Bldg","24","100.0000","42401","Sulfur dioxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","510","Alexandria City","38.8065","-77.0864"
"03/22/2013","AQS","515100021","1","0.8","ppb","0","City of Alexandria Transportation and Env. Services Maintenance Bldg","24","100.0000","42401","Sulfur dioxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","510","Alexandria City","38.8065","-77.0864"
"03/23/2013","AQS","515100021","1","1.8","ppb","1","City of Alexandria Transportation and Env. Services Maintenance Bldg","24","100.0000","42401","Sulfur dioxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","510","Alexandria City","38.8065","-77.0864"
"03/24/2013","AQS","515100021","1","2.8","ppb","3","City of Alexandria Transportation and Env. Services Maintenance Bldg","24","100.0000","42401","Sulfur dioxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","510","Alexandria City","38.8065","-77.0864"
"03/25/2013","AQS","515100021","1","0","ppb","0","City of Alexandria Transportation and Env. Services Maintenance Bldg","24","100.0000","42401","Sulfur dioxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","510","Alexandria City","38.8065","-77.0864"
"03/26/2013","AQS","515100021","1","2.3","ppb","3","City of Alexandria Transportation and Env. Services Maintenance Bldg","24","100.0000","42401","Sulfur dioxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","510","Alexandria City","38.8065","-77.0864"
"03/27/2013","AQS","515100021","1","1.7","ppb","1","City of Alexandria Transportation and Env. Services Maintenance Bldg","22","92.0000","42401","Sulfur dioxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","510","Alexandria City","38.8065","-77.0864"
"03/28/2013","AQS","515100021","1","2.5","ppb","3","City of Alexandria Transportation and Env. Services Maintenance Bldg","24","100.0000","42401","Sulfur dioxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","510","Alexandria City","38.8065","-77.0864"
"03/29/2013","AQS","515100021","1","2.5","ppb","3","City of Alexandria Transportation and Env. Services Maintenance Bldg","24","100.0000","42401","Sulfur dioxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","510","Alexandria City","38.8065","-77.0864"
"03/30/2013","AQS","515100021","1","1.5","ppb","1","City of Alexandria Transportation and Env. Services Maintenance Bldg","24","100.0000","42401","Sulfur dioxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","510","Alexandria City","38.8065","-77.0864"
"03/31/2013","AQS","515100021","1","0.7","ppb","0","City of Alexandria Transportation and Env. Services Maintenance Bldg","24","100.0000","42401","Sulfur dioxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","510","Alexandria City","38.8065","-77.0864"
"04/01/2013","AQS","515100021","1","0.5","ppb","0","City of Alexandria Transportation and Env. Services Maintenance Bldg","24","100.0000","42401","Sulfur dioxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","510","Alexandria City","38.8065","-77.0864"
"04/02/2013","AQS","515100021","1","1.1","ppb","1","City of Alexandria Transportation and Env. Services Maintenance Bldg","24","100.0000","42401","Sulfur dioxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","510","Alexandria City","38.8065","-77.0864"
"04/03/2013","AQS","515100021","1","2","ppb","3","City of Alexandria Transportation and Env. Services Maintenance Bldg","24","100.0000","42401","Sulfur dioxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","510","Alexandria City","38.8065","-77.0864"
"04/04/2013","AQS","515100021","1","2.4","ppb","3","City of Alexandria Transportation and Env. Services Maintenance Bldg","24","100.0000","42401","Sulfur dioxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","510","Alexandria City","38.8065","-77.0864"
"04/05/2013","AQS","515100021","1","3.8","ppb","4","City of Alexandria Transportation and Env. Services Maintenance Bldg","24","100.0000","42401","Sulfur dioxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","510","Alexandria City","38.8065","-77.0864"
"04/06/2013","AQS","515100021","1","1.3","ppb","1","City of Alexandria Transportation and Env. Services Maintenance Bldg","24","100.0000","42401","Sulfur dioxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","510","Alexandria City","38.8065","-77.0864"
"04/07/2013","AQS","515100021","1","1.4","ppb","1","City of Alexandria Transportation and Env. Services Maintenance Bldg","24","100.0000","42401","Sulfur dioxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","510","Alexandria City","38.8065","-77.0864"
"04/08/2013","AQS","515100021","1","1.6","ppb","1","City of Alexandria Transportation and Env. Services Maintenance Bldg","24","100.0000","42401","Sulfur dioxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","510","Alexandria City","38.8065","-77.0864"
"04/09/2013","AQS","515100021","1","2.7","ppb","3","City of Alexandria Transportation and Env. Services Maintenance Bldg","24","100.0000","42401","Sulfur dioxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","510","Alexandria City","38.8065","-77.0864"
"04/10/2013","AQS","515100021","1","2.2","ppb","3","City of Alexandria Transportation and Env. Services Maintenance Bldg","19","79.0000","42401","Sulfur dioxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","510","Alexandria City","38.8065","-77.0864"
"04/11/2013","AQS","515100021","1","1.1","ppb","1","City of Alexandria Transportation and Env. Services Maintenance Bldg","24","100.0000","42401","Sulfur dioxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","510","Alexandria City","38.8065","-77.0864"
"04/12/2013","AQS","515100021","1","3.2","ppb","4","City of Alexandria Transportation and Env. Services Maintenance Bldg","24","100.0000","42401","Sulfur dioxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","510","Alexandria City","38.8065","-77.0864"
"04/13/2013","AQS","515100021","1","0.6","ppb","0","City of Alexandria Transportation and Env. Services Maintenance Bldg","24","100.0000","42401","Sulfur dioxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","510","Alexandria City","38.8065","-77.0864"
"04/14/2013","AQS","515100021","1","2.2","ppb","3","City of Alexandria Transportation and Env. Services Maintenance Bldg","24","100.0000","42401","Sulfur dioxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","510","Alexandria City","38.8065","-77.0864"
"04/15/2013","AQS","515100021","1","3.6","ppb","4","City of Alexandria Transportation and Env. Services Maintenance Bldg","24","100.0000","42401","Sulfur dioxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","510","Alexandria City","38.8065","-77.0864"
"04/16/2013","AQS","515100021","1","2.9","ppb","3","City of Alexandria Transportation and Env. Services Maintenance Bldg","24","100.0000","42401","Sulfur dioxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","510","Alexandria City","38.8065","-77.0864"
"04/17/2013","AQS","515100021","1","3.5","ppb","4","City of Alexandria Transportation and Env. Services Maintenance Bldg","21","88.0000","42401","Sulfur dioxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","510","Alexandria City","38.8065","-77.0864"
