"Group.1","x"
"1/2/2020",278.1
"1/20/2011",275.45
"1/20/2012",274.36
"1/20/2013",280.4575
"1/20/2014",277.7225
"1/20/2015",276.855
"1/20/2016",266.7275
"1/20/2017",278.9875
"1/20/2018",279.6075
"1/20/2019",276.445
"1/20/2020",270.205
"1/21/2011",273.37
"1/21/2012",271.295
"1/21/2013",275.4975
"1/21/2014",274.585
"1/21/2015",274.8525
"1/21/2016",269.24
"1/21/2017",281.1175
"1/21/2018",282.76
"1/21/2019",264.32
"1/21/2020",269.9925
"1/22/2011",265.88
"1/22/2012",271.0675
"1/22/2013",269.44
"1/22/2014",261.6425
"1/22/2015",274.5825
"1/22/2016",269.2
"1/22/2017",281.2875
"1/22/2018",285.0225
"1/22/2019",264.955
"1/22/2020",270.91
"1/23/2011",267.235
"1/23/2012",272.515
"1/23/2013",265.0175
"1/23/2014",262.9225
"1/23/2015",275.035
"1/23/2016",267.5925
"1/23/2017",280.55
"1/23/2018",286.7775
"1/23/2019",273.7825
"1/23/2020",274.0075
"1/24/2011",266.7425
"1/24/2012",279.165
"1/24/2013",267.2825
"1/24/2014",262.34
"1/24/2015",274.6025
"1/24/2016",269.6275
"1/24/2017",276.985
"1/24/2018",279.5275
"1/24/2019",282.9325
"1/24/2020",276.87
"1/25/2011",271.94
"1/25/2012",279.2575
"1/25/2013",266.15
"1/25/2014",266.5925
"1/25/2015",276.9475
"1/25/2016",272.0025
"1/25/2017",281.3725
"1/25/2018",273.8825
"1/25/2019",274.5525
"1/25/2020",281.7225
"1/26/2011",274.3775
"1/26/2012",278.8625
"1/26/2013",267.8725
"1/26/2014",269.3025
"1/26/2015",276.3575
"1/26/2016",276.9425
"1/26/2017",283.845
"1/26/2018",274.035
"1/26/2019",272.15
"1/26/2020",278.575
"1/27/2011",272.735
"1/27/2012",286.0775
"1/27/2013",271.045
"1/27/2014",274.59
"1/27/2015",271.26
"1/27/2016",279.3125
"1/27/2017",277.6475
"1/27/2018",279.2225
"1/27/2019",274.3175
"1/27/2020",277.9125
"1/28/2011",272.5575
"1/28/2012",278.925
"1/28/2013",273.2275
"1/28/2014",264.4675
"1/28/2015",269.855
"1/28/2016",273.6025
"1/28/2017",274.925
"1/28/2018",284.6175
"1/28/2019",274.435
"1/28/2020",277.67
"1/29/2011",272.33
"1/29/2012",277.79
"1/29/2013",281.4625
"1/29/2014",262.925
"1/29/2015",271.125
"1/29/2016",275.88
"1/29/2017",276.565
"1/29/2018",280.135
"1/29/2019",272.94
"1/29/2020",277.5175
"1/3/2011",273.755
"1/3/2012",271.7625
"1/3/2013",272.1975
