"Group.1","x"
"10/18/2020",63.875
"10/19/2011",91.725
"10/19/2012",82.925
"10/19/2013",85
"10/19/2014",59.75
"10/19/2015",66.75
"10/19/2016",67.5
"10/19/2017",55.4
"10/19/2018",71.725
"10/19/2019",68.7
"10/19/2020",82.5
"10/2/2011",87.825
"10/2/2012",92.85
"10/2/2013",64.625
"10/2/2014",81.775
"10/2/2015",92.45
"10/2/2016",96.475
"10/2/2017",71.1
"10/2/2018",87.3
"10/2/2019",59.775
"10/2/2020",81.325
"10/20/2011",83.45
"10/20/2012",61.875
"10/20/2013",72.775
"10/20/2014",68.15
"10/20/2015",52.05
"10/20/2016",76.8
"10/20/2017",50.875
"10/20/2018",78.925
"10/20/2019",81.75
"10/20/2020",87.475
"10/21/2011",68.325
"10/21/2012",63.55
"10/21/2013",67.7
"10/21/2014",67.95
"10/21/2015",55.1
"10/21/2016",83.675
"10/21/2017",55.15
"10/21/2018",69.5
"10/21/2019",93.2
"10/21/2020",88.625
"10/22/2011",76.775
"10/22/2012",60.8
"10/22/2013",70.675
"10/22/2014",93.275
"10/22/2015",53.9
"10/22/2016",70.8
"10/22/2017",66.775
"10/22/2018",69.1
"10/22/2019",90.85
"10/22/2020",85.425
"10/23/2011",76.875
"10/23/2012",59.575
"10/23/2013",58.4
"10/23/2014",75.45
"10/23/2015",58.575
"10/23/2016",62.3
"10/23/2017",85.25
"10/23/2018",69.1
"10/23/2019",77.525
"10/23/2020",84.35
"10/24/2011",81.775
"10/24/2012",60.45
"10/24/2013",62.025
"10/24/2014",63.225
"10/24/2015",62.175
"10/24/2016",63.6
"10/24/2017",74.65
"10/24/2018",66.425
"10/24/2019",61.1
"10/24/2020",83.025
"10/25/2011",77.825
"10/25/2012",78.675
"10/25/2013",64.25
"10/25/2014",57.725
"10/25/2015",78.375
"10/25/2016",62.125
"10/25/2017",55.45
"10/25/2018",72.2
"10/25/2019",75.825
"10/25/2020",74.9
"10/26/2011",68.6
"10/26/2012",90.45
"10/26/2013",59.3
"10/26/2014",56.325
"10/26/2015",65.8
"10/26/2016",61.875
"10/26/2017",61.2
"10/26/2018",80.325
"10/26/2019",65.1
"10/26/2020",92.775
"10/27/2011",91.325
"10/27/2012",79.575
"10/27/2013",56.025
"10/27/2014",51.5
"10/27/2015",75.6
"10/27/2016",74.8
"10/27/2017",58.175
"10/27/2018",94.8
