"Group.1","x"
"10/13/2011",0.08
"10/13/2012",-1.94
"10/13/2013",-3.7925
"10/13/2014",3.0325
"10/13/2015",2.575
"10/13/2016",2.2
"10/13/2017",-1.84
"10/13/2018",-2.495
"10/13/2019",-3.0225
"10/13/2020",-3.6825
"10/14/2011",1.7175
"10/14/2012",6.9825
"10/14/2013",-2.775
"10/14/2014",6.2575
"10/14/2015",-0.8325
"10/14/2016",-4.8225
"10/14/2017",-2.74
"10/14/2018",-2.2125
"10/14/2019",-0.4125
"10/14/2020",-0.8975
"10/15/2011",2.565
"10/15/2012",5.5725
"10/15/2013",-1.2075
"10/15/2014",4.355
"10/15/2015",-2.105
"10/15/2016",2.4675
"10/15/2017",3.76
"10/15/2018",4.2575
"10/15/2019",-1.085
"10/15/2020",5.925
"10/16/2011",2.16
"10/16/2012",-1.5175
"10/16/2013",1.405
"10/16/2014",1.7375
"10/16/2015",0.7
"10/16/2016",4.78
"10/16/2017",-2.975
"10/16/2018",-2.1675
"10/16/2019",3.1975
"10/16/2020",-1.24
"10/17/2011",2.5175
"10/17/2012",0.0375
"10/17/2013",2.3775
"10/17/2014",1.405
"10/17/2015",-3.13
"10/17/2016",2.26
"10/17/2017",-5.26
"10/17/2018",0.5625
"10/17/2019",-1.28
"10/17/2020",-4.0075
"10/18/2011",0.3925
"10/18/2012",3.9975
"10/18/2013",-0.675
"10/18/2014",1
"10/18/2015",-4.705
"10/18/2016",3.0025
"10/18/2017",2.66
"10/18/2018",-4.665
"10/18/2019",-2.3975
"10/18/2020",3.285
"10/19/2011",-1.295
"10/19/2012",1.8725
"10/19/2013",2.425
"10/19/2014",-4.13
"10/19/2015",-3.1975
"10/19/2016",2.25
"10/19/2017",4.2975
"10/19/2018",2.2375
"10/19/2019",-2.1425
"10/19/2020",3.2675
"10/2/2011",-1.1725
"10/2/2012",-0.4025
"10/2/2013",-0.8425
"10/2/2014",-0.065
"10/2/2015",-6.665
"10/2/2016",-1.4625
"10/2/2017",1.485
"10/2/2018",5.26
"10/2/2019",2.0375
"10/2/2020",0.025
"10/20/2011",5.0475
"10/20/2012",0.12
"10/20/2013",-1.6925
"10/20/2014",1.25
"10/20/2015",6.21
"10/20/2016",1.5075
"10/20/2017",-1.955
"10/20/2018",3.9275
"10/20/2019",0
"10/20/2020",3.06
"10/21/2011",2.09
"10/21/2012",-2.0425
"10/21/2013",3.0525
"10/21/2014",2.55
"10/21/2015",2.56
"10/21/2016",4.27
"10/21/2017",-1.005
"10/21/2018",-4.23
"10/21/2019",-3.82
"10/21/2020",3.99
"10/22/2011",-1.89
"10/22/2012",-2.4275
"10/22/2013",3.1375
"10/22/2014",-5.125
"10/22/2015",3.665
"10/22/2016",-4.265
"10/22/2017",3.2675
"10/22/2018",-0.63
"10/22/2019",3.645
"10/22/2020",2.755
"10/23/2011",1.2475
"10/23/2012",2.555
"10/23/2013",-1.885
"10/23/2014",-5.3875
"10/23/2015",-1.9525
"10/23/2016",0.605
"10/23/2017",4.66
"10/23/2018",4.1975
"10/23/2019",-1.7775
"10/23/2020",3.665
"10/24/2011",3.355
"10/24/2012",1.725
"10/24/2013",-2.095
"10/24/2014",-3.0625
"10/24/2015",-0.115
"10/24/2016",1.625
"10/24/2017",4.465
"10/24/2018",-5.105
"10/24/2019",-0.1325
"10/24/2020",2.32
"10/25/2011",-2.5025
"10/25/2012",1.6475
"10/25/2013",-2.43
"10/25/2014",-1.18
"10/25/2015",2.83
"10/25/2016",-4.765
"10/25/2017",-1.34
"10/25/2018",-4.515
"10/25/2019",4.205
"10/25/2020",-4.3225
"10/26/2011",3.245
"10/26/2012",-0.48
"10/26/2013",0.4675
"10/26/2014",1.0425
"10/26/2015",-5.3325
"10/26/2016",-3.24
"10/26/2017",-3.3075
"10/26/2018",0.0775
"10/26/2019",-0.5375
"10/26/2020",-3.0975
"10/27/2011",2.195
"10/27/2012",-2.1575
"10/27/2013",1.585
"10/27/2014",-0.13
"10/27/2015",-0.215
"10/27/2016",5.5475
"10/27/2017",0.9825
"10/27/2018",-3.4025
"10/27/2019",2.3975
"10/27/2020",-0.8625
"10/28/2011",-4.485
"10/28/2012",-3.37
"10/28/2013",-0.55
"10/28/2014",4.4525
"10/28/2015",1.1425
"10/28/2016",-3.3025
"10/28/2017",6.9725
"10/28/2018",1.01
"10/28/2019",-2.4
"10/28/2020",3.135
"10/29/2011",-3.9725
"10/29/2012",-6.0375
"10/29/2013",-1.3925
"10/29/2014",1.4575
"10/29/2015",3.215
"10/29/2016",1.7275
"10/29/2017",1.8475
"10/29/2018",1.6475
"10/29/2019",1.92
"10/29/2020",-1.715
"10/3/2011",0.0275
"10/3/2012",0.445
"10/3/2013",0.1825
"10/3/2014",2.5675
"10/3/2015",-5.52
"10/3/2016",-1.1575
"10/3/2017",1.5075
"10/3/2018",0.77
"10/3/2019",-0.32
"10/3/2020",-3.0825
"10/30/2011",-5.1575
"10/30/2012",3
"10/30/2013",3.03
"10/30/2014",-2.005
"10/30/2015",-2.45
"10/30/2016",3.425
"10/30/2017",-1.465
"10/30/2018",-0.1525
"10/30/2019",1.1725
"10/30/2020",-4.1675
"10/31/2011",2.69
"10/31/2012",1.6875
"10/31/2013",3.49
"10/31/2014",-1.8275
"10/31/2015",-1.9425
"10/31/2016",-4.3875
"10/31/2017",1.0825
"10/31/2018",3.515
"10/31/2019",5.3975
"10/31/2020",-1.86
"10/4/2011",-2.25
"10/4/2012",-0.0725
"10/4/2013",1.51
"10/4/2014",0.56
"10/4/2015",-4.7625
"10/4/2016",-2.4525
"10/4/2017",3.615
"10/4/2018",1.435
"10/4/2019",-3.6
"10/4/2020",0.6125
"10/5/2011",-3.9025
"10/5/2012",-1.7675
"10/5/2013",0.155
"10/5/2014",-0.455
"10/5/2015",-3.75
"10/5/2016",-2.0975
"10/5/2017",4.1625
"10/5/2018",-3.3375
"10/5/2019",-4.2975
"10/5/2020",-1.6875
"10/6/2011",-2.8275
"10/6/2012",1.68
"10/6/2013",3.5925
"10/6/2014",5.05
"10/6/2015",-1.64
"10/6/2016",-1.6175
"10/6/2017",2.0625
"10/6/2018",0.7025
"10/6/2019",4.615
"10/6/2020",1.09
"10/7/2011",1.03
"10/7/2012",-2.505
"10/7/2013",5.53
"10/7/2014",6.475
"10/7/2015",-1.19
"10/7/2016",-1.6725
"10/7/2017",4.8075
"10/7/2018",3.075
"10/7/2019",6.58
"10/7/2020",3.175
"10/8/2011",1.3325
"10/8/2012",-2.5175
"10/8/2013",-4.5125
"10/8/2014",2.6475
"10/8/2015",-1.6075
"10/8/2016",-1.785
"10/8/2017",5.8475
"10/8/2018",1.6675
"10/8/2019",-5.4525
"10/8/2020",-3.1375
"10/9/2011",-0.1525
"10/9/2012",-3.425
"10/9/2013",-5.1
"10/9/2014",-0.0425
"10/9/2015",4.8075
"10/9/2016",-8.3225
"10/9/2017",5.3025
"10/9/2018",2.555
"10/9/2019",-5.0425
"10/9/2020",-0.825
"11/1/2011",-2.9125
"11/1/2012",0.6
"11/1/2013",4.7075
"11/1/2014",-3.5475
"11/1/2015",5.1575
"11/1/2016",2.4675
"11/1/2017",-1.87
"11/1/2018",4.185
"11/1/2019",0.3175
"11/1/2020",5.3925
"11/10/2011",0.63
"11/10/2012",2.0175
"11/10/2013",3.5975
"11/10/2014",2.3225
"11/10/2015",-3.5075
"11/10/2016",-5.045
"11/10/2017",-4.11
"11/10/2018",-4.47
"11/10/2019",3.8575
"11/10/2020",5.4325
"11/11/2011",-1.7675
"11/11/2012",4.18
"11/11/2013",-1.66
"11/11/2014",2.4875
"11/11/2015",-3.0675
"11/11/2016",1.1175
"11/11/2017",-4.6425
"11/11/2018",-2.4125
"11/11/2019",3.4825
"11/11/2020",5.855
"11/12/2011",3.5675
"11/12/2012",6.96
"11/12/2013",-0.92
"11/12/2014",0.8325
"11/12/2015",0.6
"11/12/2016",-5.165
"11/12/2017",3.375
"11/12/2018",3.16
"11/12/2019",-0.8675
"11/12/2020",-1.32
"11/13/2011",6.09
"11/13/2012",-2.2175
"11/13/2013",-5.59
"11/13/2014",-4.14
"11/13/2015",0.2225
"11/13/2016",0.995
"11/13/2017",-0.125
"11/13/2018",-2.51
"11/13/2019",-4.77
"11/13/2020",-1.9325
"11/14/2011",5.805
"11/14/2012",-5.8625
"11/14/2013",1.2375
"11/14/2014",-4.755
"11/14/2015",-2.3425
"11/14/2016",2.28
"11/14/2017",-4.56
"11/14/2018",-3.77
"11/14/2019",4.4375
"11/14/2020",-2.5275
"11/15/2011",2.2675
"11/15/2012",-1.51
"11/15/2013",3.34
"11/15/2014",-4.035
"11/15/2015",-0.3425
"11/15/2016",-1.7125
"11/15/2017",-2.96
"11/15/2018",-3.69
"11/15/2019",-0.84
"11/15/2020",3.1775
"11/16/2011",1.225
"11/16/2012",-1.905
"11/16/2013",0.76
"11/16/2014",3.8625
"11/16/2015",1.2625
"11/16/2016",0.1525
"11/16/2017",1.6025
"11/16/2018",-2.1825
"11/16/2019",-6.455
"11/16/2020",-0.5675
"11/17/2011",-3.395
"11/17/2012",-5.28
"11/17/2013",3.6875
"11/17/2014",2.545
"11/17/2015",-0.2725
"11/17/2016",-3.0225
"11/17/2017",-4.3825
"11/17/2018",-2.18
"11/17/2019",-5.205
"11/17/2020",-1.6675
"11/18/2011",-1.3775
"11/18/2012",-2.2625
"11/18/2013",3.6
"11/18/2014",-3.225
"11/18/2015",2.2525
"11/18/2016",-1.7325
"11/18/2017",3.9825
"11/18/2018",-0.19
"11/18/2019",-2.495
"11/18/2020",-4.17
"11/19/2011",7.0775
"11/19/2012",-4.07
"11/19/2013",-5.0875
"11/19/2014",1.1375
"11/19/2015",6.01
"11/19/2016",3.2625
"11/19/2017",0.545
"11/19/2018",2.1825
"11/19/2019",0.3125
"11/19/2020",3.1675
"11/2/2011",-0.2225
"11/2/2012",-0.145
"11/2/2013",-0.6325
"11/2/2014",-9.165
"11/2/2015",-0.0775
"11/2/2016",3.425
"11/2/2017",4.3375
"11/2/2018",3.765
"11/2/2019",-2.68
"11/2/2020",-2.67
"11/20/2011",5.8425
"11/20/2012",-2.345
"11/20/2013",-4.6825
"11/20/2014",5.6925
"11/20/2015",-3.8575
"11/20/2016",-2.9125
"11/20/2017",-1.9975
"11/20/2018",-0.0925
"11/20/2019",-2.2
"11/20/2020",6.39
"11/21/2011",0.3275
"11/21/2012",-2.16
"11/21/2013",0.575
"11/21/2014",-4.6375
"11/21/2015",-2.34
"11/21/2016",-2.165
"11/21/2017",6.585
"11/21/2018",-0.105
"11/21/2019",-3.6525
"11/21/2020",-1.1375
"11/22/2011",-0.8625
"11/22/2012",-2.615
"11/22/2013",3.67
"11/22/2014",2.675
"11/22/2015",-1.675
"11/22/2016",-1.0325
"11/22/2017",1.2325
"11/22/2018",-5.0425
"11/22/2019",3.8275
"11/22/2020",-1.9575
"11/23/2011",1.855
"11/23/2012",2.3025
"11/23/2013",-4.1
"11/23/2014",5.2625
"11/23/2015",-5.5525
"11/23/2016",-2.2775
"11/23/2017",-3.8475
"11/23/2018",-2.4925
"11/23/2019",-1.88
"11/23/2020",-1.545
"11/24/2011",-4.3625
"11/24/2012",-2.83
"11/24/2013",-6.45
"11/24/2014",4.835
"11/24/2015",1.635
"11/24/2016",3.2525
"11/24/2017",1.1075
"11/24/2018",0.2975
"11/24/2019",-1.495
"11/24/2020",-3.5375
"11/25/2011",-0.55
"11/25/2012",-0.49
"11/25/2013",-2.4425
"11/25/2014",0.3
"11/25/2015",0.1875
"11/25/2016",0.61
"11/25/2017",2.9675
"11/25/2018",-0.58
"11/25/2019",0.79
"11/25/2020",6.0425
"11/26/2011",1.1425
"11/26/2012",-0.0975000000000001
"11/26/2013",5.1
"11/26/2014",-1.675
"11/26/2015",5.1075
"11/26/2016",-5.13
"11/26/2017",-2.2375
"11/26/2018",2.595
"11/26/2019",2.4075
"11/26/2020",3.9675
"11/27/2011",5.75
"11/27/2012",-0.2825
"11/27/2013",-3.5375
"11/27/2014",-1.655
"11/27/2015",4.6475
"11/27/2016",-3.53
"11/27/2017",-0.935
"11/27/2018",-1.445
"11/27/2019",4.4575
"11/27/2020",-2.3175
"11/28/2011",5.125
"11/28/2012",-3.3275
"11/28/2013",-2.865
"11/28/2014",-4.0775
"11/28/2015",2.0175
"11/28/2016",3.17
"11/28/2017",3.06
"11/28/2018",-2.77
"11/28/2019",-1.7
"11/28/2020",-1.0025
"11/29/2011",1.7425
"11/29/2012",-0.4
"11/29/2013",-1.235
"11/29/2014",0.99
"11/29/2015",-2.285
"11/29/2016",3.76
"11/29/2017",3.7325
"11/29/2018",-2.3425
"11/29/2019",-6.825
"11/29/2020",-0.3725
"11/3/2011",4.7775
"11/3/2012",-2.025
"11/3/2013",-4.205
"11/3/2014",-4.695
"11/3/2015",0.7525
"11/3/2016",2.1
"11/3/2017",3.865
"11/3/2018",-1.3625
"11/3/2019",-1.655
"11/3/2020",0.2
"11/30/2011",2.585
"11/30/2012",3.1525
"11/30/2013",-2.405
"11/30/2014",5.445
"11/30/2015",-3.79
"11/30/2016",0.7125
"11/30/2017",-1.67
"11/30/2018",-0.075
"11/30/2019",-2.48
"11/30/2020",1.6475
"11/4/2011",-1.11
"11/4/2012",-2.6875
"11/4/2013",-4.3175
"11/4/2014",2.835
"11/4/2015",1.835
"11/4/2016",-5.4775
"11/4/2017",-5.47
"11/4/2018",-1.87
"11/4/2019",3.13
"11/4/2020",2.96
"11/5/2011",-6.4375
"11/5/2012",-4.1375
"11/5/2013",-0.2775
"11/5/2014",3.0225
"11/5/2015",2.9825
"11/5/2016",-4.3875
"11/5/2017",1.02
"11/5/2018",-0.5125
"11/5/2019",4.75
"11/5/2020",6.9325
"11/6/2011",2.59
"11/6/2012",-2.11
"11/6/2013",4.0275
"11/6/2014",0.97
"11/6/2015",5.2325
"11/6/2016",-4.4825
"11/6/2017",4.6025
"11/6/2018",1.23
"11/6/2019",-3.795
"11/6/2020",3.6525
"11/7/2011",3.0325
"11/7/2012",-2.98
"11/7/2013",3.335
"11/7/2014",-0.99
"11/7/2015",-0.8275
"11/7/2016",-4.6725
"11/7/2017",-5.5075
"11/7/2018",1.5125
"11/7/2019",5.8825
"11/7/2020",1.3175
"11/8/2011",1.4625
"11/8/2012",-3.4725
"11/8/2013",-3.0175
"11/8/2014",-0.2075
"11/8/2015",-4.63
"11/8/2016",0.3025
"11/8/2017",-5.1275
"11/8/2018",-2.845
"11/8/2019",-6
"11/8/2020",1.87
"11/9/2011",2.875
"11/9/2012",-3.9275
"11/9/2013",0.0174999999999998
"11/9/2014",1.3125
"11/9/2015",1.57
"11/9/2016",0.8025
"11/9/2017",-2.7875
"11/9/2018",-2.525
"11/9/2019",-1.5325
"11/9/2020",2.71
"12/1/2011",-4.4475
"12/1/2012",-0.0925
"12/1/2013",2.1225
"12/1/2014",5.4
"12/1/2015",-1.8925
"12/1/2016",-1.585
"12/1/2017",-1.63
"12/1/2018",-1.52
"12/1/2019",1.0225
"12/1/2020",-0.8175
"12/10/2011",-2.6725
"12/10/2012",1.23
"12/10/2013",-2.255
"12/10/2014",-3.8275
"12/10/2015",1.0175
"12/10/2016",-2.5975
"12/10/2017",0.6
"12/10/2018",-4.7325
"12/10/2019",3.715
"12/10/2020",-0.7025
"12/11/2011",-4.0425
"12/11/2012",-1.5025
"12/11/2013",-0.2325
"12/11/2014",-1.3075
"12/11/2015",2.6125
"12/11/2016",-1.235
"12/11/2017",2.0525
"12/11/2018",-2.0425
"12/11/2019",-4.615
"12/11/2020",4.53
"12/12/2011",2.8275
"12/12/2012",-3.605
"12/12/2013",-3.27
"12/12/2014",-1.8975
"12/12/2015",2.06
"12/12/2016",3.765
"12/12/2017",3.0275
"12/12/2018",0.1825
"12/12/2019",-4.035
"12/12/2020",4.8775
"12/13/2011",-1.63
"12/13/2012",-3.61
"12/13/2013",1.7375
"12/13/2014",-3.8175
"12/13/2015",1.285
"12/13/2016",-1.6525
"12/13/2017",-3.4
"12/13/2018",3.095
"12/13/2019",0.585
"12/13/2020",2.875
"12/14/2011",-1.6625
"12/14/2012",2.66
"12/14/2013",0.2625
"12/14/2014",-1.9225
"12/14/2015",4.33
"12/14/2016",-1.7225
"12/14/2017",1.415
"12/14/2018",1.5675
"12/14/2019",-1.4875
"12/14/2020",-3.275
"12/15/2011",5.96
"12/15/2012",0.8875
"12/15/2013",-1.6875
"12/15/2014",-0.5
"12/15/2015",-0.84
"12/15/2016",-3.9125
"12/15/2017",-1.675
"12/15/2018",-4.3875
"12/15/2019",0.0175000000000001
"12/15/2020",-3.6925
"12/16/2011",-0.4075
"12/16/2012",3.5625
"12/16/2013",-1.175
"12/16/2014",3.2625
"12/16/2015",-1.355
"12/16/2016",-1.61
"12/16/2017",3.8175
"12/16/2018",-4.0325
"12/16/2019",-2.725
"12/16/2020",-3.505
"12/17/2011",-2.915
"12/17/2012",0.685
"12/17/2013",0.755
"12/17/2014",-0.0275
"12/17/2015",2.47
"12/17/2016",4.4725
"12/17/2017",2.51
"12/17/2018",-0.78
"12/17/2019",-1.55
"12/17/2020",-3.3225
"12/18/2011",-3.245
"12/18/2012",1.9525
"12/18/2013",-1.2525
"12/18/2014",-4.3875
"12/18/2015",-2.1075
"12/18/2016",1.945
"12/18/2017",1.275
"12/18/2018",-4.345
"12/18/2019",-2.5725
"12/18/2020",-2.055
"12/19/2011",3.675
"12/19/2012",-0.99
"12/19/2013",2.955
"12/19/2014",-2.6525
"12/19/2015",-0.86
"12/19/2016",-4.87
"12/19/2017",1.8
"12/19/2018",0.73
"12/19/2019",-4.2925
"12/19/2020",-2.3175
"12/2/2011",0.5875
"12/2/2012",2.695
"12/2/2013",1.3525
"12/2/2014",-5.3675
"12/2/2015",2.2375
"12/2/2016",-1.8925
"12/2/2017",0.875
"12/2/2018",0.8
"12/2/2019",-2.205
"12/2/2020",0.59
"12/20/2011",1.865
"12/20/2012",-1.3725
"12/20/2013",6.2325
"12/20/2014",-3.3525
"12/20/2015",-2.135
"12/20/2016",-1.645
"12/20/2017",-0.4
"12/20/2018",1.86
"12/20/2019",-0.9125
"12/20/2020",4.285
"12/21/2011",3.415
"12/21/2012",1.225
"12/21/2013",6.0325
"12/21/2014",-0.365
"12/21/2015",7.69
"12/21/2016",1.245
"12/21/2017",-2.1425
"12/21/2018",2.1525
"12/21/2019",-0.0549999999999999
"12/21/2020",1.145
"12/22/2011",1.5575
"12/22/2012",-1.7775
"12/22/2013",6.0375
"12/22/2014",-0.7275
"12/22/2015",4.8975
"12/22/2016",3.0325
"12/22/2017",3.9625
"12/22/2018",-2.08
"12/22/2019",2.7625
